73.65,5,18,,North Carolina
63.98,1,4,,California
54.93,1,15,,Missouri
46.5,1,22,,North Carolina
60.8,2,23,,South Carolina
70.51,5,9,,Louisiana
75.6,4,6,,Texas
39.72,2,21,,North Dakota
55.01,5,9,,North Dakota
66.15,5,5,,Nebraska
64.51,3,13,,Kentucky
63.06,1,4,,Louisiana
67.84,3,6,,Louisiana
77.4,4,30,,Louisiana
76.3,2,28,,California
66.48,3,25,,Nebraska
65.66,4,28,,Wyoming
29.57,3,13,,North Dakota
24.31,2,16,,Minnesota
32.55,1,12,,Missouri
64.95,3,9,,Missouri
64.45,3,11,,Missouri
39.15,2,20,,Montana
69.39,4,18,,North Carolina
78.63,4,26,,Georgia
57.78,4,6,,Montana
28.5,1,10,,Wyoming
85.28,4,10,,Florida
86.73,3,29,,Florida
65.53,4,9,,Colorado
88.32,5,18,,Arizona
60.13,1,8,,California
66.41,2,3,,Missouri
50.42,1,23,,North Carolina
70.18,3,9,,Alabama
50.58,1,8,,Virginia
53.58,1,26,,Virginia
67.53,4,3,,Virginia
23.13,2,5,,Alaska
47.12,4,4,,Wyoming
59.63,1,20,,California
67.86,5,8,,Idaho
69.46,2,2,,California
41.86,1,1,,Rhode Island
70.38,5,18,,California
33.85,1,23,,Iowa
58.99,1,20,,Texas
38.42,1,15,,Utah
58.01,3,18,,Utah
54.9,5,5,,Iowa
64.43,4,25,,Pennsylvania
3.94,2,13,,Minnesota
38.73,3,17,,Minnesota
42.93,1,1,,Montana
41.52,1,2,,Montana
42.51,1,3,,Montana
47.4,1,4,,Montana
44.09,1,5,,Montana
36.42,1,6,,Montana
39.81,1,7,,Montana
41.02,1,8,,Montana
33.12,1,11,,Montana
33.06,1,12,,Montana
5.25,1,14,,Montana
12.48,1,15,,Montana
19.25,1,16,,Montana
19.03,1,17,,Montana
17.89,1,18,,Montana
32.62,1,19,,Montana
41.74,1,20,,Montana
46.54,1,21,,Montana
46.38,1,22,,Montana
43.68,1,23,,Montana
46.27,1,24,,Montana
47.46,1,25,,Montana
44.38,1,26,,Montana
42.2,1,27,,Montana
43.92,1,28,,Montana
43.97,1,29,,Montana
43.15,1,30,,Montana
48.07,1,31,,Montana
58.27,2,1,,Montana
55.5,2,2,,Montana
33.78,2,3,,Montana
29.61,2,4,,Montana
36.82,2,5,,Montana
38.41,2,6,,Montana
36,2,8,,Montana
36.57,2,11,,Montana
34.39,2,13,,Montana
38.88,2,14,,Montana
38.3,2,15,,Montana
38.5,2,16,,Montana
37.92,2,17,,Montana
29.82,2,18,,Montana
26.47,2,19,,Montana
45.49,2,21,,Montana
48.69,2,22,,Montana
49.07,2,23,,Montana
33.6,2,25,,Montana
41.26,2,26,,Montana
44.71,2,27,,Montana
53.2,2,28,,Montana
53.61,2,29,,Montana
44.12,3,1,,Montana
43.15,3,2,,Montana
49.35,3,3,,Montana
50.95,3,4,,Montana
52.37,3,5,,Montana
63.15,3,6,,Montana
61.89,3,7,,Montana
41.98,3,9,,Montana
46.4,3,10,,Montana
27.9,3,16,,Montana
39.97,3,17,,Montana
46.97,3,21,,Montana
54.35,3,23,,Montana
54.44,3,24,,Montana
44.09,3,25,,Montana
43.83,3,26,,Montana
46.46,3,27,,Montana
51.69,3,28,,Montana
56.53,3,29,,Montana
57.84,3,30,,Montana
56.17,3,31,,Montana
