31,2/26/20,Wisconsin,0,0,0
31,2/26/20,Wyoming,0,0,0
32,2/6/20,Colorado,0,0,0
32,2/11/20,Colorado,0,0,0
32,2/13/20,Colorado,0,0,0
32,2/15/20,Connecticut,0,0,0
32,1/28/20,Illinois,1,0,0
32,2/6/20,Illinois,2,0,0
32,2/6/20,Indiana,0,0,0
32,1/25/20,Iowa,0,0,0
32,1/26/20,Iowa,0,0,0
32,1/27/20,Iowa,0,0,0
32,2/6/20,Iowa,0,0,0
32,2/5/20,Kansas,0,0,0
32,3/21/20,Michigan,787,5,0
32,4/13/20,Minnesota,1647,70,0
32,2/10/20,Montana,0,0,0
32,4/12/20,Montana,331,6,0
32,2/8/20,New Hampshire,0,0,0
32,2/21/20,New York,0,0,0
32,1/25/20,North Dakota,0,0,0
32,1/26/20,North Dakota,0,0,0
32,1/31/20,North Dakota,0,0,0
32,2/11/20,North Dakota,0,0,0
32,2/14/20,North Dakota,0,0,0
32,2/27/20,North Dakota,0,0,0
32,3/21/20,North Dakota,28,0,0
32,2/9/20,South Dakota,0,0,0
32,2/20/20,South Dakota,0,0,0
32,2/1/20,Vermont,0,0,0
32,2/6/20,Vermont,0,0,0
32,2/7/20,Vermont,0,0,0
32,1/27/20,Wisconsin,0,0,0
32,2/4/20,Wisconsin,0,0,0
32,2/6/20,Wisconsin,0,0,0
32,2/15/20,Wisconsin,0,0,0
32,2/18/20,Wisconsin,0,0,0
32,2/7/20,Wyoming,0,0,0
33,4/1/20,Alaska,142,3,0
33,4/6/20,Alaska,191,7,0
33,2/12/20,Colorado,0,0,0
33,2/19/20,Idaho,0,0,0
33,1/29/20,Illinois,1,0,0
33,2/20/20,Indiana,0,0,0
33,2/27/20,Indiana,0,0,0
33,1/22/20,Iowa,0,0,0
33,1/24/20,Iowa,0,0,0
33,2/4/20,Iowa,0,0,0
33,2/21/20,Massachusetts,1,0,0
33,1/22/20,Michigan,0,0,0
33,1/28/20,Michigan,0,0,0
33,1/31/20,Michigan,0,0,0
33,2/10/20,Michigan,0,0,0
33,2/11/20,Michigan,0,0,0
33,2/16/20,Michigan,0,0,0
33,2/17/20,Michigan,0,0,0
33,2/26/20,Michigan,0,0,0
33,1/22/20,Minnesota,0,0,0
33,2/25/20,Minnesota,0,0,0
33,3/21/20,Minnesota,137,1,0
33,2/20/20,Nebraska,0,0,0
33,1/30/20,New York,0,0,0
33,2/8/20,New York,0,0,0
33,2/14/20,New York,0,0,0
33,2/15/20,North Dakota,0,0,0
33,1/30/20,Ohio,0,0,0
33,2/6/20,Ohio,0,0,0
33,2/7/20,Ohio,0,0,0
33,2/8/20,Ohio,0,0,0
33,2/29/20,Ohio,0,0,0
33,2/21/20,Rhode Island,0,0,0
33,1/28/20,South Dakota,0,0,0
33,2/6/20,South Dakota,0,0,0
33,2/8/20,South Dakota,0,0,0
33,2/10/20,South Dakota,0,0,0
33,2/25/20,South Dakota,0,0,0
33,1/22/20,Vermont,0,0,0
33,2/2/20,Vermont,0,0,0
33,1/22/20,Wisconsin,0,0,0
33,1/23/20,Wisconsin,0,0,0
33,1/26/20,Wisconsin,0,0,0
33,1/31/20,Wisconsin,0,0,0
33,2/21/20,Wyoming,0,0,0
34,3/14/20,Alaska,1,0,0
34,3/15/20,Alaska,1,0,0
34,4/2/20,Alaska,147,3,0
34,4/10/20,Alaska,247,7,0
34,2/10/20,Colorado,0,0,0
34,2/19/20,Colorado,0,0,0
34,2/20/20,Colorado,0,0,0
34,2/21/20,Connecticut,0,0,0
34,2/3/20,Idaho,0,0,0
34,2/13/20,Illinois,2,0,0
34,1/28/20,Indiana,0,0,0
34,1/29/20,Indiana,0,0,0
34,2/7/20,Indiana,0,0,0
34,2/8/20,Indiana,0,0,0
34,2/13/20,Indiana,0,0,0
