date_time,alabama_maxtempC,alabama_mintempC,alaska_maxtempC,alaska_mintempC,arizona_maxtempC,arizona_mintempC,arkansas_maxtempC,arkansas_mintempC,california_maxtempC,california_mintempC,colorado_maxtempC,colorado_mintempC,connecticut_maxtempC,connecticut_mintempC,delaware_maxtempC,delaware_mintempC,district_of_columbia_maxtempC,district_of_columbia_mintempC,florida_maxtempC,florida_mintempC,georgia_maxtempC,georgia_mintempC,hawaii_maxtempC,hawaii_mintempC,idaho_maxtempC,idaho_mintempC,illinois_maxtempC,illinois_mintempC,indiana_maxtempC,indiana_mintempC,iowa_maxtempC,iowa_mintempC,kansas_maxtempC,kansas_mintempC,kentucky_maxtempC,kentucky_mintempC,louisiana_maxtempC,louisiana_mintempC,maine_maxtempC,maine_mintempC,montana_maxtempC,montana_mintempC,nebraska_maxtempC,nebraska_mintempC,nevada_maxtempC,nevada_mintempC,new_hampshire_maxtempC,new_hampshire_mintempC,new_jersey_maxtempC,new_jersey_mintempC,new_mexico_maxtempC,new_mexico_mintempC,new_york_maxtempC,new_york_mintempC,north_carolina_maxtempC,north_carolina_mintempC,north_dakota_maxtempC,north_dakota_mintempC,ohio_maxtempC,ohio_mintempC,oklahoma_maxtempC,oklahoma_mintempC,oregon_maxtempC,oregon_mintempC,maryland_maxtempC,maryland_mintempC,massachusetts_maxtempC,massachusetts_mintempC,michigan_maxtempC,michigan_mintempC,minnesota_maxtempC,minnesota_mintempC,mississippi_maxtempC,mississippi_mintempC,missouri_maxtempC,missouri_mintempC,pennsylvania_maxtempC,pennsylvania_mintempC,rhode_island_maxtempC,rhode_island_mintempC,south_carolina_maxtempC,south_carolina_mintempC,south_dakota_maxtempC,south_dakota_mintempC,tennessee_maxtempC,tennessee_mintempC,texas_maxtempC,texas_mintempC,utah_maxtempC,utah_mintempC,vermont_maxtempC,vermont_mintempC,virginia_maxtempC,virginia_mintempC,washington_maxtempC,washington_mintempC,west_virginia_maxtempC,west_virginia_mintempC,wisconsin_maxtempC,wisconsin_mintempC,wyoming_maxtempC,wyoming_mintempC
2020-01-21,7,0,25,20,22,17,4,-6,13,6,7,1,-2,-10,-3,-10,0,-5,24,11,6,-2,16,12,-1,-6,-5,-14,1,-5,-6,-17,0,-10,33,16,0,-10,31,16,4,-4,-5,-19,23,12,-3,-9,0,-4,30,17,0,-4,3,-5,-7,-15,-1,-7,7,-2,8,7,2,-6,-4,-8,-1,-4,-8,-19,5,-4,13,6,-3,-13,-2,-8,26,12,-2,-16,-3,-14,11,7,-9,-17,26,19,2,-1,2,-3,1,-7,-6,-16,-2,-12
2020-01-22,9,2,29,19,24,19,4,-4,14,6,6,-5,3,-8,1,-6,5,-3,22,12,4,-1,19,13,0,-8,0,-6,1,-4,-1,-8,3,-1,32,15,3,-3,29,16,10,1,2,-1,20,13,0,-6,4,-2,34,17,4,-2,5,-5,-1,-6,1,-5,6,3,9,6,3,-2,2,-6,1,-3,1,-7,7,-3,14,8,0,-11,3,-6,26,15,1,-3,0,-5,15,9,-11,-20,26,23,5,1,8,-2,6,-5,-1,-7,-1,-7
2020-01-23,16,9,27,18,27,18,9,0,16,6,5,-7,4,-4,4,-2,6,-1,20,10,5,-2,23,15,-3,-7,1,-2,5,-5,1,-2,2,1,32,16,2,0,29,15,6,-3,1,-2,23,11,4,-2,3,0,35,22,4,-1,7,-3,1,-6,4,-2,12,3,12,9,2,0,4,-3,1,-7,0,-4,7,0,20,15,2,-7,5,-2,26,15,-3,-10,1,-1,19,13,-9,-19,27,20,9,4,7,-2,9,-2,-1,-4,0,-4
2020-01-24,16,11,29,19,27,20,6,-2,16,8,8,-4,7,-2,7,2,9,1,20,11,2,-2,22,14,0,-7,1,-1,5,3,1,-6,-1,-3,31,16,1,-1,28,14,6,-2,-3,-6,21,13,6,2,8,3,32,22,8,2,13,3,1,-1,4,2,10,1,12,4,2,1,5,-1,2,-5,0,-5,10,4,21,11,2,-5,6,0,24,16,-6,-15,1,-1,17,11,-8,-15,27,24,13,7,11,0,13,3,1,-5,1,-5
2020-01-25,14,7,30,20,27,19,9,0,16,6,8,-5,7,-1,3,0,12,6,21,11,2,-5,22,17,0,-5,-1,-6,2,-1,-1,-7,4,-5,33,16,-1,-4,28,15,11,0,-1,-9,23,11,2,-1,10,4,34,20,10,4,12,5,1,-1,2,-1,14,2,13,8,1,-1,6,0,2,0,-1,-6,10,1,18,12,4,-2,8,0,23,15,-7,-15,-1,-5,16,13,-8,-17,27,23,14,9,12,6,4,2,1,-6,1,1
2020-01-26,11,4,29,20,27,19,13,3,17,9,9,-5,6,0,2,-3,7,3,22,11,8,-2,20,13,0,-8,-2,-6,2,-1,-2,-10,7,-1,29,15,2,-5,28,14,10,5,2,-4,22,11,1,-2,7,3,30,22,7,3,9,0,-1,-8,1,-4,15,7,12,6,6,-1,7,3,1,-1,-3,-8,13,4,22,17,1,-3,7,3,26,14,-1,-6,-1,-7,17,12,-8,-18,27,23,9,5,8,3,3,-1,-1,-3,1,0
2020-01-27,18,11,32,19,28,19,11,4,14,6,5,-3,5,-1,1,-3,8,2,21,11,8,0,24,17,-1,-6,0,-4,2,-1,0,-3,2,-2,32,11,0,-2,30,14,5,1,0,-4,23,11,1,-4,5,2,31,20,6,2,8,3,-1,-6,2,-3,17,8,10,3,2,0,6,1,1,-4,0,-5,14,8,24,17,2,-2,6,1,29,16,-9,-16,0,-3,16,13,-8,-20,27,23,11,4,9,2,6,1,-1,-5,1,-4
2020-01-28,15,10,28,19,29,20,4,0,15,6,5,-11,4,-2,2,-1,7,1,23,11,9,1,23,16,-2,-8,-3,-7,2,-1,-5,-11,1,-2,36,16,0,-3,30,15,12,4,-1,-4,21,12,2,-3,4,-2,32,21,5,-2,10,0,-1,-7,2,-2,6,1,10,8,3,0,3,0,0,-1,-5,-12,15,6,20,14,1,-3,4,-1,24,14,-9,-16,-3,-8,18,15,-10,-21,27,23,8,3,8,1,3,-1,-4,-10,0,-3
2020-01-29,15,10,31,18,30,21,4,-2,15,5,0,-7,4,-2,3,-3,6,0,19,11,10,3,25,16,-1,-6,-2,-7,2,-1,-3,-9,0,-2,38,17,-1,-4,31,14,10,3,-2,-7,25,10,2,-3,7,0,34,22,7,0,8,0,-3,-9,2,-3,5,1,9,2,2,-1,4,-1,0,-1,-4,-10,12,7,14,8,1,-5,5,-3,28,13,-7,-13,-2,-5,14,9,-10,-20,28,23,6,4,9,1,5,-4,-4,-9,0,-4
2020-01-30,15,8,30,19,29,22,6,0,15,5,2,-10,3,-7,2,-3,5,0,21,11,10,3,22,15,-3,-9,-2,-6,4,-1,-3,-10,2,-3,41,21,0,-5,30,15,7,2,2,-1,25,9,2,-3,2,-2,34,21,2,-2,9,0,-2,-9,2,-2,6,2,12,3,2,-2,2,-1,2,-1,-3,-12,14,5,15,10,1,-6,4,-4,27,15,-2,-8,-1,-6,13,11,-9,-20,28,23,7,4,6,0,7,-1,-3,-11,1,-3
